2025-10-24 08:07:27 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2872.0 KB): bsv_gc_n_4_du_10_09_2024.pdf
2025-10-24 08:07:28 | INFO     | __main__                       | Téléchargement [36/38]: bsv_gc_n_3_du_03_09_2024.pdf
2025-10-24 08:07:31 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2778.6 KB): bsv_gc_n_3_du_03_09_2024.pdf
2025-10-24 08:07:32 | INFO     | __main__                       | Téléchargement [37/38]: bsv_gc_n_1_du_20_08_2024.pdf
2025-10-24 08:07:35 | INFO     | utils.file_utils               | PDF téléchargé avec succès (1930.7 KB): bsv_gc_n_1_du_20_08_2024.pdf
2025-10-24 08:07:36 | INFO     | __main__                       | Téléchargement [38/38]: bsv_gc_n_2_du_27_08_2024.pdf
2025-10-24 08:07:38 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2207.2 KB): bsv_gc_n_2_du_27_08_2024.pdf
2025-10-24 08:07:39 | INFO     | __main__                       | Téléchargement terminé pour l'année 2024: 38/38 PDF téléchargés
2025-10-24 08:07:39 | INFO     | __main__                       | ================================================================================
2025-10-24 08:07:39 | INFO     | __main__                       | TRAITEMENT DE L'ANNÉE 2023 (2/3)
2025-10-24 08:07:39 | INFO     | __main__                       | ================================================================================
2025-10-24 08:07:39 | INFO     | __main__                       | URL de l'année: https://draaf.bourgogne-franche-comte.agriculture.gouv.fr/bulletins-de-sante-du-vegetal-grandes-cultures-bourgogne-franche-comte-2023-a3004.html
2025-10-24 08:07:39 | INFO     | __main__                       | Récupération de la page pour l'année 2023...
2025-10-24 08:07:40 | INFO     | __main__                       | Page récupérée avec succès: https://draaf.bourgogne-franche-comte.agriculture.gouv.fr/bulletins-de-sante-du-vegetal-grandes-cultures-bourgogne-franche-comte-2023-a3004.html
2025-10-24 08:07:40 | INFO     | __main__                       | Page de l'année 2023 récupérée avec succès
2025-10-24 08:07:40 | INFO     | __main__                       | Collecte des liens PDF pour l'année 2023...
2025-10-24 08:07:40 | INFO     | __main__                       | Nombre de PDF trouvés pour l'année 2023: 38
2025-10-24 08:07:40 | INFO     | __main__                       | Répertoire créé/vérifié: /home/ngoupaye/projets-scolaires/plant_health_NLP_analysis/data/raw/bourgogne_franche_comte/2023
2025-10-24 08:07:40 | INFO     | __main__                       | Début du téléchargement de 38 PDF pour l'année 2023...
2025-10-24 08:07:40 | INFO     | __main__                       | Téléchargement [1/38]: bsv_gc_n_37_du_16_07_2024.pdf
2025-10-24 08:07:42 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3512.5 KB): bsv_gc_n_37_du_16_07_2024.pdf
2025-10-24 08:07:43 | INFO     | __main__                       | Téléchargement [2/38]: bsv_gc_n_36_du_09_07_2024.pdf
2025-10-24 08:07:48 | INFO     | utils.file_utils               | PDF téléchargé avec succès (4701.1 KB): bsv_gc_n_36_du_09_07_2024.pdf
2025-10-24 08:07:49 | INFO     | __main__                       | Téléchargement [3/38]: bsv_gc_n_35_du_02_07_2024.pdf
2025-10-24 08:07:52 | INFO     | utils.file_utils               | PDF téléchargé avec succès (2974.9 KB): bsv_gc_n_35_du_02_07_2024.pdf
2025-10-24 08:07:53 | INFO     | __main__                       | Téléchargement [4/38]: bsv_gc_n_34_du_25_06_2024.pdf
2025-10-24 08:07:57 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3895.4 KB): bsv_gc_n_34_du_25_06_2024.pdf
2025-10-24 08:07:58 | INFO     | __main__                       | Téléchargement [5/38]: bsv_gc_n_33_du_18_06_2024.pdf
2025-10-24 08:08:01 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3874.5 KB): bsv_gc_n_33_du_18_06_2024.pdf
2025-10-24 08:08:02 | INFO     | __main__                       | Téléchargement [6/38]: bsv_gc_n_32_du_11_06_2024.pdf
2025-10-24 08:08:09 | INFO     | utils.file_utils               | PDF téléchargé avec succès (5505.3 KB): bsv_gc_n_32_du_11_06_2024.pdf
2025-10-24 08:08:10 | INFO     | __main__                       | Téléchargement [7/38]: bsv_gc_n_31_du_04_06_2024.pdf
2025-10-24 08:08:15 | INFO     | utils.file_utils               | PDF téléchargé avec succès (5354.3 KB): bsv_gc_n_31_du_04_06_2024.pdf
2025-10-24 08:08:16 | INFO     | __main__                       | Téléchargement [8/38]: bsv_gc_n_30_du_28_05_2024.pdf
2025-10-24 08:08:20 | INFO     | utils.file_utils               | PDF téléchargé avec succès (6021.4 KB): bsv_gc_n_30_du_28_05_2024.pdf
2025-10-24 08:08:21 | INFO     | __main__                       | Téléchargement [9/38]: bsv_gc_n_29_du_22_05_2024.pdf
2025-10-24 08:08:27 | INFO     | utils.file_utils               | PDF téléchargé avec succès (4999.6 KB): bsv_gc_n_29_du_22_05_2024.pdf
2025-10-24 08:08:28 | INFO     | __main__                       | Téléchargement [10/38]: bsv_gc_n_28_du_14_05_2024.pdf
2025-10-24 08:08:33 | INFO     | utils.file_utils               | PDF téléchargé avec succès (8971.2 KB): bsv_gc_n_28_du_14_05_2024.pdf
2025-10-24 08:08:34 | INFO     | __main__                       | Téléchargement [11/38]: bsv_gc_n_27_du_07_05_2024_01.pdf
2025-10-24 08:08:39 | INFO     | utils.file_utils               | PDF téléchargé avec succès (4400.7 KB): bsv_gc_n_27_du_07_05_2024_01.pdf
2025-10-24 08:08:40 | INFO     | __main__                       | Téléchargement [12/38]: bsv_gc_n_26_du_30_04_2024.pdf
2025-10-24 08:08:44 | INFO     | utils.file_utils               | PDF téléchargé avec succès (4585.9 KB): bsv_gc_n_26_du_30_04_2024.pdf
2025-10-24 08:08:45 | INFO     | __main__                       | Téléchargement [13/38]: bsv_gc_n_25_du_23_04_2024.pdf
2025-10-24 08:08:48 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3915.1 KB): bsv_gc_n_25_du_23_04_2024.pdf
2025-10-24 08:08:49 | INFO     | __main__                       | Téléchargement [14/38]: bsv_gc_n_24_du_16_04_2024.pdf
2025-10-24 08:08:51 | INFO     | utils.file_utils               | PDF téléchargé avec succès (3711.4 KB): bsv_gc_n_24_du_16_04_2024.pdf
2025-10-24 08:08:52 | INFO     | __main__                       | Téléchargement [15/38]: bsv_gc_n_23_du_09_04_2024.pdf
2025-10-24 08:08:57 | INFO     | utils.file_utils               | PDF téléchargé avec succès (4585.3 KB): bsv_gc_n_23_du_09_04_2024.pdf
2025-10-24 08:08:58 | INFO     | __main__                       | Téléchargement [16/38]: bsv_gc_n_22_du_03_04_2024.pdf
2025-10-24 08:09:03 | INFO     | utils.file_utils               | PDF téléchargé avec succès (4611.3 KB): bsv_gc_n_22_du_03_04_2024.pdf
